source,num_exts,num_uniq_exts,percent_uniq_exts,total_exts,total_uniq_exts,added_uniq_exts
wikidata,7655,2344,30.62050947093403,7655,7655,7655
trid,3907,489,12.515996928589711,11562,8266,611
ffw,3765,661,17.556440903054447,15327,9027,761
pronom,1678,74,4.410011918951132,17005,9118,91
linguist,1414,595,42.07920792079208,18419,9729,611
tika,1192,271,22.73489932885906,19611,10007,278
file,737,85,11.533242876526458,20348,10094,87
naradpf,591,52,8.798646362098138,20939,10150,56
lcfdd,488,53,10.860655737704919,21427,10203,53
tcdb,190,29,15.263157894736842,21617,10232,29
mediainfo,46,2,4.3478260869565215,21663,10234,2
